id,member,first_name,last_name,dob,member_relationship
grp_45_3_m000_c0,grp_45_3_m000,Sam,Moreau,2010-02-25,child
grp_45_3_m000_c1,grp_45_3_m000,Skyler,Moreau,2025-08-21,child
grp_45_3_m000_c2,grp_45_3_m000,Jamie,Moreau,2008-09-24,child
grp_45_3_m001_sp,grp_45_3_m001,Morgan,Abara,1960-06-15,spouse
grp_45_3_m004_sp,grp_45_3_m004,Parker,Silva,1990-07-31,spouse
grp_45_3_m006_sp,grp_45_3_m006,Riley,Moreau,1962-03-14,spouse
grp_45_3_m007_sp,grp_45_3_m007,Sam,Chen,1972-10-15,spouse
grp_45_3_m007_c0,grp_45_3_m007,Parker,Chen,2001-11-01,child
grp_45_3_m007_c1,grp_45_3_m007,Jordan,Chen,2024-06-21,child
grp_45_3_m012_sp,grp_45_3_m012,Avery,Okafor,1985-07-29,spouse
grp_45_3_m014_c0,grp_45_3_m014,Skyler,Kowalski,2017-12-20,child
grp_45_3_m014_c1,grp_45_3_m014,Jordan,Kowalski,2007-01-20,child
grp_45_3_m014_c2,grp_45_3_m014,Reese,Kowalski,2025-08-25,child
grp_45_3_m014_c3,grp_45_3_m014,Rowan,Kowalski,2005-08-01,child
grp_45_3_m015_c0,grp_45_3_m015,Alex,Abara,2022-03-16,child
grp_45_3_m015_c1,grp_45_3_m015,Morgan,Abara,2004-07-26,child
grp_45_3_m016_c0,grp_45_3_m016,Jamie,Tanaka,2015-05-22,child
grp_45_3_m016_c1,grp_45_3_m016,Casey,Tanaka,2000-11-21,child
grp_45_3_m017_c0,grp_45_3_m017,Avery,Rivera,2023-07-11,child
grp_45_3_m017_c1,grp_45_3_m017,Reese,Rivera,2024-03-05,child
grp_45_3_m017_c2,grp_45_3_m017,Parker,Rivera,2023-08-05,child
grp_45_3_m018_c0,grp_45_3_m018,Riley,Haddad,2021-12-29,child
grp_45_3_m018_c1,grp_45_3_m018,Parker,Haddad,2010-03-21,child
grp_45_3_m023_sp,grp_45_3_m023,Jamie,Abara,1970-10-28,spouse
grp_45_3_m024_c0,grp_45_3_m024,Parker,Rivera,2009-12-05,child
grp_45_3_m024_c1,grp_45_3_m024,Drew,Rivera,2011-01-01,child
grp_45_3_m024_c2,grp_45_3_m024,Morgan,Rivera,2024-12-08,child
grp_45_3_m025_c0,grp_45_3_m025,Reese,Novak,2024-06-17,child
grp_45_3_m025_c1,grp_45_3_m025,Quinn,Novak,2019-07-01,child
grp_45_3_m030_c0,grp_45_3_m030,Taylor,Rivera,2021-05-08,child
grp_45_3_m030_c1,grp_45_3_m030,Cameron,Rivera,2024-01-25,child
grp_45_3_m030_c2,grp_45_3_m030,Drew,Rivera,2024-03-18,child
grp_45_3_m036_sp,grp_45_3_m036,Sam,Novak,1980-04-19,spouse
grp_45_3_m036_c0,grp_45_3_m036,Casey,Novak,2002-06-03,child
grp_45_3_m036_c1,grp_45_3_m036,Skyler,Novak,2003-10-14,child
grp_45_3_m040_sp,grp_45_3_m040,Reese,Nguyen,1981-07-20,spouse
grp_45_3_m043_c0,grp_45_3_m043,Avery,Nguyen,2019-10-23,child
grp_45_3_m044_sp,grp_45_3_m044,Sam,Patel,1987-11-15,spouse
grp_45_3_m044_c0,grp_45_3_m044,Reese,Patel,2024-05-14,child
grp_45_3_m044_c1,grp_45_3_m044,Drew,Patel,2007-12-29,child
