id,first_name,last_name,dob,employer,hire_date,state,zip_code,enrolled_plan
grp_45_3_m000,Skyler,Moreau,1988-03-30,grp_45_3,2019-10-04,PA,19103,plan_silver
grp_45_3_m001,Sam,Abara,1963-10-12,grp_45_3,2019-04-17,PA,19103,plan_gold
grp_45_3_m002,Skyler,Abara,2002-03-03,grp_45_3,2017-11-10,PA,19103,plan_bronze
grp_45_3_m003,Rowan,Byrne,1979-10-25,grp_45_3,2021-10-27,PA,19103,plan_gold
grp_45_3_m004,Reese,Silva,1995-04-03,grp_45_3,2019-05-12,PA,19103,plan_silver
grp_45_3_m005,Casey,Kowalski,1989-01-08,grp_45_3,2022-04-06,PA,19103,plan_bronze
grp_45_3_m006,Taylor,Moreau,1967-11-30,grp_45_3,2020-07-07,PA,19103,plan_bronze
grp_45_3_m007,Drew,Chen,1973-03-24,grp_45_3,2022-10-16,PA,19103,plan_silver
grp_45_3_m008,Taylor,Okafor,2001-02-27,grp_45_3,2019-12-01,PA,19103,
grp_45_3_m009,Quinn,Nguyen,2001-02-22,grp_45_3,2022-12-20,PA,19103,plan_gold
grp_45_3_m010,Reese,Abara,2001-10-22,grp_45_3,2021-09-07,PA,19103,plan_silver
grp_45_3_m011,Avery,Haddad,1970-05-26,grp_45_3,2018-10-22,PA,19103,plan_silver
grp_45_3_m012,Parker,Okafor,1988-03-10,grp_45_3,2022-05-23,PA,19103,
grp_45_3_m013,Morgan,Haddad,2002-12-02,grp_45_3,2018-10-26,PA,19103,plan_silver
grp_45_3_m014,Drew,Kowalski,1974-10-03,grp_45_3,2021-11-03,PA,19103,plan_gold
grp_45_3_m015,Avery,Abara,1980-08-31,grp_45_3,2022-03-31,PA,19103,plan_gold
grp_45_3_m016,Riley,Tanaka,1976-03-15,grp_45_3,2020-11-11,PA,19103,plan_gold
grp_45_3_m017,Avery,Rivera,1996-05-08,grp_45_3,2022-01-14,PA,19103,plan_silver
grp_45_3_m018,Jamie,Haddad,1985-12-15,grp_45_3,2020-10-19,PA,19103,plan_bronze
grp_45_3_m019,Quinn,Okafor,1970-11-01,grp_45_3,2023-03-07,PA,19103,plan_gold
grp_45_3_m020,Alex,Nguyen,1971-04-30,grp_45_3,2024-07-26,PA,19103,plan_gold
grp_45_3_m021,Taylor,Nguyen,1984-07-10,grp_45_3,2024-07-07,PA,19103,plan_gold
grp_45_3_m022,Jamie,Silva,1969-09-21,grp_45_3,2024-07-20,PA,19103,
grp_45_3_m023,Alex,Abara,1969-04-26,grp_45_3,2018-11-15,PA,19103,plan_silver
grp_45_3_m024,Sam,Rivera,1978-04-29,grp_45_3,2025-07-20,PA,19103,plan_bronze
grp_45_3_m025,Drew,Novak,1998-05-27,grp_45_3,2024-07-14,PA,19103,plan_gold
grp_45_3_m026,Sam,Byrne,2003-03-17,grp_45_3,2023-12-02,PA,19103,plan_gold
grp_45_3_m027,Jordan,Moreau,1974-02-17,grp_45_3,2021-01-30,PA,19103,plan_gold
grp_45_3_m028,Parker,Silva,1963-05-11,grp_45_3,2025-09-20,PA,19103,plan_gold
grp_45_3_m029,Parker,Okafor,1969-09-08,grp_45_3,2021-02-22,PA,19103,
grp_45_3_m030,Alex,Rivera,1995-05-04,grp_45_3,2024-04-24,PA,19103,plan_gold
grp_45_3_m031,Cameron,Rivera,1979-10-02,grp_45_3,2025-08-28,PA,19103,plan_silver
grp_45_3_m032,Quinn,Rivera,1996-03-10,grp_45_3,2022-07-25,PA,19103,plan_silver
grp_45_3_m033,Jamie,Lindqvist,2001-11-07,grp_45_3,2019-09-14,PA,19103,plan_silver
grp_45_3_m034,Casey,Rivera,1968-11-22,grp_45_3,2023-03-17,PA,19103,plan_bronze
grp_45_3_m035,Cameron,Nguyen,1962-08-25,grp_45_3,2021-10-19,PA,19103,plan_silver
grp_45_3_m036,Morgan,Novak,1981-10-09,grp_45_3,2024-11-05,PA,19103,plan_silver
grp_45_3_m037,Casey,Byrne,1973-10-23,grp_45_3,2022-12-03,PA,19103,plan_silver
grp_45_3_m038,Quinn,Moreau,1994-01-23,grp_45_3,2018-01-04,PA,19103,plan_bronze
grp_45_3_m039,Riley,Abara,1965-07-27,grp_45_3,2025-08-30,PA,19103,plan_gold
grp_45_3_m040,Parker,Nguyen,1979-01-09,grp_45_3,2020-07-17,PA,19103,plan_silver
grp_45_3_m041,Alex,Silva,1990-04-30,grp_45_3,2017-11-02,PA,19103,plan_gold
grp_45_3_m042,Jamie,Lindqvist,1978-09-03,grp_45_3,2018-08-26,PA,19103,plan_silver
grp_45_3_m043,Jordan,Nguyen,1999-08-24,grp_45_3,2024-01-07,PA,19103,plan_bronze
grp_45_3_m044,Drew,Patel,1983-05-23,grp_45_3,2021-08-30,PA,19103,
